car_name,price_info.germany,range_info.City - Cold Weather *,range_info.Highway - Cold Weather *,range_info.Combined - Cold Weather *,range_info.City - Mild Weather *,range_info.Highway - Mild Weather *,range_info.Combined - Mild Weather *,performance_info.acceleration,performance_info.top_speed,performance_info.electric_range,performance_info.total_power,performance_info.total_torque,performance_info.drive,battery_info.nominal_capacity,battery_info.battery_type,battery_info.number_of_cells,battery_info.architecture,battery_info.warranty_period,battery_info.warranty_mileage,battery_info.useable_capacity,battery_info.cathode_material,battery_info.pack_configuration,battery_info.nominal_voltage,battery_info.form_factor,battery_info.name___reference,charging_info.home_destination.charge_port,charging_info.home_destination.port_location,charging_info.home_destination.charge_power,charging_info.fast_charging.fastcharge_port,charging_info.fast_charging.fc_port_location,charging_info.fast_charging.fastcharge_power_max,charging_info.fast_charging.fastcharge_power_10-80%,charging_info.plug_charge.plug_&_charge_supported,v2x_info.v2l.v2l_supported,v2x_info.v2l.max_output_power,v2x_info.v2h.v2h_via_ac_supported,v2x_info.v2h.max_output_power,v2x_info.v2g.v2g_via_ac_supported,v2x_info.v2g.max_output_power,efficiency_info.evdb_real_range.range,efficiency_info.evdb_real_range.vehicle_consumption,efficiency_info.wltp_ratings_tel.range,efficiency_info.wltp_ratings_tel.rated_consumption,efficiency_info.wltp_ratings_tel.vehicle_consumption,efficiency_info.wltp_ratings_teh.range,efficiency_info.wltp_ratings_teh.rated_consumption,efficiency_info.wltp_ratings_teh.vehicle_consumption,real_energy_consumption.city_cold weather_cold_weather,real_energy_consumption.highway_cold weather_cold_weather,real_energy_consumption.combined_cold weather_cold_weather,real_energy_consumption.city_mild weather_mild_weather,real_energy_consumption.highway_mild weather_mild_weather,real_energy_consumption.combined_mild weather_mild_weather,battery_info.nominal_capacity							*,range_info.City - Cold Weather,range_info.Highway - Cold Weather,range_info.Combined - Cold Weather,range_info.City - Mild Weather,range_info.Highway - Mild Weather,range_info.Combined - Mild Weather,performance_info.Electric Range
Mercedes-Benz EQA 250 (2023-2024),"€50,777",385 km,280 km,335 km,585 km,365 km,455 km,8.6 sec,160 km/h,395 km,140 kW (190 PS),385 Nm,Front,69.7 kWh,Lithium-ion,300,400 V,8 years,"160,000 km",66.5 kWh,No Data,100s3p,367 V,No Data,No Data,Type 2,Right Side - Rear,11 kW AC,CCS,Right Side - Rear,112 kW DC,100 kW DC,Yes,No,-,No,-,No,-,395 km,168 Wh/km,528 km,144 Wh/km,126 Wh/km,456 km,167 Wh/km,146 Wh/km,173 Wh/km,238 Wh/km,199 Wh/km,114 Wh/km,182 Wh/km,146 Wh/km,,,,,,,,
Mercedes-Benz EQB 250+ (2023-2024),"€53,514",405 km,300 km,350 km,610 km,385 km,480 km,8.9 sec,160 km/h,415 km,140 kW (190 PS),385 Nm,Front,73.9 kWh,Lithium-ion,No Data,400 V,8 years,"160,000 km",70.5 kWh,No Data,No Data,No Data,No Data,No Data,Type 2,Right Side - Rear,11 kW AC,CCS,Right Side - Rear,102 kW DC,90 kW DC,Yes,No,-,No,-,No,-,415 km,170 Wh/km,536 km,152 Wh/km,132 Wh/km,463 km,175 Wh/km,152 Wh/km,174 Wh/km,235 Wh/km,201 Wh/km,116 Wh/km,183 Wh/km,147 Wh/km,,,,,,,,
Mercedes-Benz EQS 450+ (2023-2024),"€109,551",590 km,465 km,530 km,885 km,610 km,730 km,6.1 sec,210 km/h,635 km,265 kW (360 PS),568 Nm,Rear,,Lithium-ion,432,400 V,10 years,"250,000 km",108.4 kWh,NCM811,108s4p,396 V,No Data,No Data,Type 2,Right Side - Rear,11 kW AC,CCS,Right Side - Rear,207 kW DC,173 kW DC,Yes,No,-,No,-,No,-,635 km,171 Wh/km,780 km,158 Wh/km,139 Wh/km,627 km,199 Wh/km,173 Wh/km,184 Wh/km,233 Wh/km,205 Wh/km,122 Wh/km,178 Wh/km,148 Wh/km,120.0 kWh,,,,,,,
Mercedes-Benz EQV 300 Long,"€79,048",335 km,225 km,275 km,455 km,275 km,350 km,12.1 sec,160 km/h,315 km,150 kW (204 PS),365 Nm,Front,100.0 kWh,Lithium-ion,288,400 V,No Data,No Data,90.0 kWh,No Data,96s3p,352 V,No Data,No Data,Type 2,Left Side - Front,11 kW AC,CCS,Left Side - Front,110 kW DC,96 kW DC,No,No,-,No,-,No,-,315 km,286 Wh/km,363 km,276 Wh/km,248 Wh/km,326 km,303 Wh/km,276 Wh/km,269 Wh/km,400 Wh/km,327 Wh/km,198 Wh/km,327 Wh/km,257 Wh/km,,,,,,,,
Mercedes-Benz EQE 350+ (2023-2024),Not Available,500 km,385 km,440 km,750 km,500 km,610 km,6.4 sec,210 km/h,530 km,215 kW (292 PS),565 Nm,Rear,,Lithium-ion,360,400 V,No Data,No Data,90.6 kWh,NCM811,90s4p,328 V,No Data,No Data,Type 2,Right Side - Rear,11 kW AC,CCS,Right Side - Rear,173 kW DC,141 kW DC,Yes,No,-,No,-,No,-,530 km,171 Wh/km,671 km,158 Wh/km,135 Wh/km,545 km,193 Wh/km,166 Wh/km,181 Wh/km,235 Wh/km,206 Wh/km,121 Wh/km,181 Wh/km,149 Wh/km,100.0 kWh,,,,,,,
Mercedes-Benz EQE 300 (2023-2024),"€67,187",495 km,380 km,440 km,745 km,500 km,605 km,7.3 sec,210 km/h,525 km,180 kW (245 PS),550 Nm,Rear,,Lithium-ion,No Data,400 V,10 years,"250,000 km",89.0 kWh,No Data,No Data,No Data,No Data,No Data,Type 2,Right Side - Rear,11 kW AC,CCS,Right Side - Rear,170 kW DC,120 kW DC,Yes,No,-,No,-,No,-,525 km,170 Wh/km,621 km,165 Wh/km,143 Wh/km,532 km,195 Wh/km,167 Wh/km,180 Wh/km,234 Wh/km,202 Wh/km,119 Wh/km,178 Wh/km,147 Wh/km,98.0 kWh,,,,,,,
Mercedes-Benz EQB 350 4MATIC,"€58,197",340 km,250 km,295 km,500 km,315 km,395 km,6.2 sec,160 km/h,345 km,215 kW (292 PS),520 Nm,AWD,69.7 kWh,Lithium-ion,300,400 V,8 years,"160,000 km",66.5 kWh,No Data,100s3p,367 V,No Data,No Data,Type 2,Right Side - Rear,11 kW AC,CCS,Right Side - Rear,112 kW DC,100 kW DC,Yes,No,-,No,-,No,-,345 km,193 Wh/km,448 km,171 Wh/km,148 Wh/km,396 km,192 Wh/km,168 Wh/km,196 Wh/km,266 Wh/km,225 Wh/km,133 Wh/km,211 Wh/km,168 Wh/km,,,,,,,,
Mercedes-Benz EQA 250+ (2023-2024),"€52,205",,,,,,,8.6 sec,160 km/h,,140 kW (190 PS),385 Nm,Front,73.9 kWh,Lithium-ion,No Data,400 V,8 years,"160,000 km",70.5 kWh,No Data,No Data,No Data,No Data,No Data,Type 2,Right Side - Rear,11 kW AC,CCS,Right Side - Rear,102 kW DC,90 kW DC,Yes,No,-,No,-,No,-,420 km,168 Wh/km,560 km,144 Wh/km,126 Wh/km,496 km,164 Wh/km,142 Wh/km,172 Wh/km,235 Wh/km,201 Wh/km,115 Wh/km,183 Wh/km,145 Wh/km,,410 km,300 km,350 km,615 km,385 km,485 km,420 km
Mercedes-Benz EQS 580 4MATIC,"€141,705",555 km,435 km,495 km,820 km,565 km,680 km,4.3 sec,210 km/h,590 km,400 kW (544 PS),858 Nm,AWD,,Lithium-ion,432,400 V,10 years,"250,000 km",108.4 kWh,NCM811,108s4p,396 V,No Data,No Data,Type 2,Right Side - Rear,11 kW AC,CCS,Right Side - Rear,207 kW DC,173 kW DC,Yes,No,-,No,-,No,-,590 km,184 Wh/km,719 km,172 Wh/km,151 Wh/km,589 km,212 Wh/km,184 Wh/km,195 Wh/km,249 Wh/km,219 Wh/km,132 Wh/km,192 Wh/km,159 Wh/km,120.0 kWh,,,,,,,
Mercedes-Benz EQB 300 4MATIC,"€55,519",,,,,,,8.0 sec,160 km/h,,168 kW (228 PS),390 Nm,AWD,69.7 kWh,Lithium-ion,300,400 V,8 years,"160,000 km",66.5 kWh,No Data,100s3p,367 V,No Data,No Data,Type 2,Right Side - Rear,11 kW AC,CCS,Right Side - Rear,112 kW DC,100 kW DC,Yes,No,-,No,-,No,-,345 km,193 Wh/km,448 km,171 Wh/km,148 Wh/km,396 km,192 Wh/km,168 Wh/km,196 Wh/km,266 Wh/km,225 Wh/km,133 Wh/km,211 Wh/km,168 Wh/km,,340 km,250 km,295 km,500 km,315 km,395 km,345 km
